Name,State,Status,Cluster,Consumed CPU %,Consumed Memory %,Uptime
m630a102.esx.utshare.local,Disconnected,Alert,PRD-A,0,0,
m630a103.esx.utshare.local,Disconnected,Alert,PRD-A,0,0,
m630a104.esx.utshare.local,Disconnected,Warning,PRD-A,0,0,
m630a115.esx.utshare.local,Disconnected,Alert,PRD-A,0,0,
m630a116.esx.utshare.local,Disconnected,Warning,PRD-A,0,0,
m630a202.esx.utshare.local,Disconnected,Warning,PRD-A,0,0,
m630a203.esx.utshare.local,Disconnected,Warning,PRD-A,0,0,
m630a204.esx.utshare.local,Disconnected,Warning,PRD-A,0,0,
m630a215.esx.utshare.local,Disconnected,Warning,PRD-A,0,0,
m630a216.esx.utshare.local,Disconnected,Warning,PRD-A,0,0,
m630a302.esx.utshare.local,Disconnected,Warning,PRD-A,0,0,
m630a303.esx.utshare.local,Disconnected,Warning,PRD-A,0,0,
m630a304.esx.utshare.local,Disconnected,Warning,PRD-A,0,0,
m630a315.esx.utshare.local,Disconnected,Alert,PRD-A,0,0,
m630a316.esx.utshare.local,Disconnected,Warning,PRD-A,0,0,
m630a402.esx.utshare.local,Disconnected,Warning,PRD-A,0,0,
m630a403.esx.utshare.local,Disconnected,Warning,PRD-A,0,0,
m630a404.esx.utshare.local,Disconnected,Warning,PRD-A,0,0,
m630a415.esx.utshare.local,Disconnected,Warning,PRD-A,0,0,
m630a416.esx.utshare.local,Disconnected,Warning,PRD-A,0,0,
m630a502.esx.utshare.local,Disconnected,Warning,PRD-A,0,0,
m630a503.esx.utshare.local,Disconnected,Warning,PRD-A,0,0,
m630a504.esx.utshare.local,Disconnected,Warning,PRD-A,0,0,
m630a515.esx.utshare.local,Disconnected,Warning,PRD-A,0,0,
m630a516.esx.utshare.local,Disconnected,Warning,PRD-A,0,0,
